Connecting to host 3.8.16.233, port 5201
[  5] local 172.31.29.109 port 51002 connected to 3.8.16.233 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  90.00-91.00  sec  17.5 MBytes   147 Mbits/sec    3    168 KBytes       
[  5]  91.00-92.00  sec  13.8 MBytes   115 Mbits/sec    1    167 KBytes       
[  5]  92.00-93.00  sec  10.0 MBytes  83.9 Mbits/sec    3    129 KBytes       
[  5]  93.00-94.00  sec  12.5 MBytes   105 Mbits/sec    0    188 KBytes       
[  5]  94.00-95.00  sec  12.5 MBytes   105 Mbits/sec    1    187 KBytes       
[  5]  95.00-96.00  sec  17.5 MBytes   147 Mbits/sec    0    247 KBytes       
[  5]  96.00-97.00  sec  20.0 MBytes   168 Mbits/sec    1    218 KBytes       
[  5]  97.00-98.00  sec  18.8 MBytes   157 Mbits/sec    0    277 KBytes       
[  5]  98.00-99.00  sec  18.8 MBytes   157 Mbits/sec    3    174 KBytes       
[  5]  99.00-100.00 sec  15.0 MBytes   126 Mbits/sec    2    168 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec  1.95 GBytes   167 Mbits/sec  103             sender
[  5]   0.00-100.03 sec  1.95 GBytes   167 Mbits/sec                  receiver

iperf Done.
