Connecting to host 13.239.64.172, port 5201
[  5] local 10.160.0.2 port 45326 connected to 13.239.64.172 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  63.00-64.00  sec  1.85 MBytes  15.6 Mbits/sec    0    238 KBytes       
[  5]  64.00-65.00  sec   949 KBytes  7.77 Mbits/sec    0    261 KBytes       
[  5]  65.00-66.00  sec  1.85 MBytes  15.5 Mbits/sec    0    298 KBytes       
[  5]  66.00-67.00  sec  1.91 MBytes  16.1 Mbits/sec    0    353 KBytes       
[  5]  67.00-68.00  sec  2.84 MBytes  23.8 Mbits/sec    0    428 KBytes       
[  5]  68.00-69.00  sec  3.03 MBytes  25.4 Mbits/sec    0    529 KBytes       
[  5]  69.00-70.00  sec  3.40 MBytes  28.5 Mbits/sec   22    419 KBytes       
[  5]  70.00-71.00  sec  2.42 MBytes  20.3 Mbits/sec    3    326 KBytes       
[  5]  71.00-72.00  sec  2.39 MBytes  20.1 Mbits/sec    0    359 KBytes       
[  5]  72.00-73.00  sec  2.29 MBytes  19.2 Mbits/sec    0    377 KBytes       
[  5]  73.00-74.00  sec  1.25 MBytes  10.5 Mbits/sec   19    283 KBytes       
[  5]  74.00-75.00  sec  2.33 MBytes  19.6 Mbits/sec    8    209 KBytes       
[  5]  75.00-76.00  sec  1.25 MBytes  10.5 Mbits/sec    0    238 KBytes       
[  5]  76.00-77.00  sec  1.16 MBytes  9.72 Mbits/sec    0    249 KBytes       
[  5]  77.00-78.00  sec  2.47 MBytes  20.7 Mbits/sec    0    254 KBytes       
[  5]  78.00-79.00  sec  1.11 MBytes  9.32 Mbits/sec    2    201 KBytes       
[  5]  79.00-80.00  sec  1.24 MBytes  10.4 Mbits/sec    0    227 KBytes       
[  5]  80.00-81.00  sec  1.11 MBytes  9.33 Mbits/sec    0    245 KBytes       
[  5]  81.00-82.00  sec  1.17 MBytes  9.84 Mbits/sec    1    183 KBytes       
[  5]  82.00-83.00  sec  1.17 MBytes  9.84 Mbits/sec    0    201 KBytes       
[  5]  83.00-84.00  sec  1.17 MBytes  9.84 Mbits/sec    0    209 KBytes       
[  5]  84.00-85.00  sec  2.41 MBytes  20.2 Mbits/sec    0    210 KBytes       
[  5]  85.00-86.00  sec  1.24 MBytes  10.4 Mbits/sec    0    210 KBytes       
[  5]  86.00-87.00  sec  1.24 MBytes  10.4 Mbits/sec    0    212 KBytes       
[  5]  87.00-88.00  sec  1.24 MBytes  10.4 Mbits/sec    0    217 KBytes       
[  5]  88.00-89.00  sec  1.11 MBytes  9.32 Mbits/sec    0    230 KBytes       
[  5]  89.00-90.00  sec  1.11 MBytes  9.33 Mbits/sec    0    256 KBytes       
[  5]  90.00-91.00  sec  2.29 MBytes  19.2 Mbits/sec    0    293 KBytes       
[  5]  91.00-92.00  sec  1.25 MBytes  10.5 Mbits/sec   11    239 KBytes       
[  5]  92.00-93.00  sec  2.21 MBytes  18.5 Mbits/sec    1    187 KBytes       
[  5]  93.00-94.00  sec  1.17 MBytes  9.84 Mbits/sec    0    210 KBytes       
[  5]  94.00-95.00  sec  1.25 MBytes  10.5 Mbits/sec    0    223 KBytes       
[  5]  95.00-96.00  sec  1.16 MBytes  9.72 Mbits/sec    0    227 KBytes       
[  5]  96.00-97.00  sec  1.11 MBytes  9.33 Mbits/sec    0    227 KBytes       
[  5]  97.00-98.00  sec  1.11 MBytes  9.33 Mbits/sec    0    227 KBytes       
[  5]  98.00-99.00  sec  2.22 MBytes  18.7 Mbits/sec    0    231 KBytes       
[  5]  99.00-100.00 sec  1.11 MBytes  9.32 Mbits/sec    0    239 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   158 MBytes  13.3 Mbits/sec  375             sender
[  5]   0.00-100.16 sec   156 MBytes  13.1 Mbits/sec                  receiver

iperf Done.
