Connecting to host 52.12.99.134, port 5201
[  5] local 10.152.0.2 port 38902 connected to 52.12.99.134 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  90.00-91.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.34 MBytes       
[  5]  91.00-92.00  sec  5.00 MBytes  41.9 Mbits/sec  552    560 KBytes       
[  5]  92.00-93.00  sec  3.75 MBytes  31.5 Mbits/sec   10    538 KBytes       
[  5]  93.00-94.00  sec  2.50 MBytes  21.0 Mbits/sec    0    572 KBytes       
[  5]  94.00-95.00  sec  3.75 MBytes  31.5 Mbits/sec    0    600 KBytes       
[  5]  95.00-96.00  sec  3.75 MBytes  31.5 Mbits/sec    0    616 KBytes       
[  5]  96.00-97.00  sec  3.75 MBytes  31.5 Mbits/sec    0    623 KBytes       
[  5]  97.00-98.00  sec  3.75 MBytes  31.5 Mbits/sec    0    624 KBytes       
[  5]  98.00-99.00  sec  3.75 MBytes  31.5 Mbits/sec    0    624 KBytes       
[  5]  99.00-100.00 sec  2.50 MBytes  21.0 Mbits/sec    0    626 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   348 MBytes  29.2 Mbits/sec  1804             sender
[  5]   0.00-100.18 sec   346 MBytes  29.0 Mbits/sec                  receiver

iperf Done.
