Connecting to host 35.221.118.215, port 5201
[  5] local 10.152.0.2 port 44332 connected to 35.221.118.215 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  94.00-95.00  sec  3.75 MBytes  31.5 Mbits/sec    0    410 KBytes       
[  5]  95.00-96.00  sec  3.75 MBytes  31.5 Mbits/sec    0    516 KBytes       
[  5]  96.00-97.00  sec  3.75 MBytes  31.5 Mbits/sec   12    414 KBytes       
[  5]  97.00-98.00  sec  3.75 MBytes  31.5 Mbits/sec    0    459 KBytes       
[  5]  98.00-99.00  sec  3.75 MBytes  31.5 Mbits/sec    0    490 KBytes       
[  5]  99.00-100.00 sec  3.75 MBytes  31.5 Mbits/sec    0    506 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   320 MBytes  26.8 Mbits/sec  266             sender
[  5]   0.00-100.12 sec   317 MBytes  26.6 Mbits/sec                  receiver

iperf Done.
