Connecting to host 3.8.16.233, port 5201
[  5] local 172.31.43.179 port 55104 connected to 3.8.16.233 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  90.00-91.00  sec  8.75 MBytes  73.4 Mbits/sec    0    744 KBytes       
[  5]  91.00-92.00  sec  7.50 MBytes  62.9 Mbits/sec    0    749 KBytes       
[  5]  92.00-93.00  sec  8.75 MBytes  73.4 Mbits/sec    0    762 KBytes       
[  5]  93.00-94.00  sec  8.75 MBytes  73.4 Mbits/sec    0    783 KBytes       
[  5]  94.00-95.00  sec  10.0 MBytes  83.9 Mbits/sec    0    820 KBytes       
[  5]  95.00-96.00  sec  8.75 MBytes  73.4 Mbits/sec    0    874 KBytes       
[  5]  96.00-97.00  sec  10.0 MBytes  83.9 Mbits/sec    0    949 KBytes       
[  5]  97.00-98.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.02 MBytes       
[  5]  98.00-99.00  sec  11.2 MBytes  94.4 Mbits/sec  135    570 KBytes       
[  5]  99.00-100.00 sec  7.50 MBytes  62.9 Mbits/sec    0    619 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   982 MBytes  82.4 Mbits/sec  1289             sender
[  5]   0.00-100.09 sec   979 MBytes  82.1 Mbits/sec                  receiver

iperf Done.
