Connecting to host 3.122.54.42, port 5201
[  5] local 10.154.0.2 port 38062 connected to 3.122.54.42 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  89.00-90.00  sec  8.75 MBytes  73.4 Mbits/sec    2    138 KBytes       
[  5]  90.00-91.00  sec  6.25 MBytes  52.4 Mbits/sec    0    168 KBytes       
[  5]  91.00-92.00  sec  7.50 MBytes  62.9 Mbits/sec    0    198 KBytes       
[  5]  92.00-93.00  sec  8.75 MBytes  73.4 Mbits/sec    0    231 KBytes       
[  5]  93.00-94.00  sec  8.75 MBytes  73.4 Mbits/sec    2    133 KBytes       
[  5]  94.00-95.00  sec  5.00 MBytes  41.9 Mbits/sec    2    117 KBytes       
[  5]  95.00-96.00  sec  6.25 MBytes  52.4 Mbits/sec    0    147 KBytes       
[  5]  96.00-97.00  sec  5.00 MBytes  41.9 Mbits/sec    2   89.4 KBytes       
[  5]  97.00-98.00  sec  5.00 MBytes  41.9 Mbits/sec    0    120 KBytes       
[  5]  98.00-99.00  sec  5.00 MBytes  41.9 Mbits/sec    2    104 KBytes       
[  5]  99.00-100.00 sec  3.75 MBytes  31.5 Mbits/sec    1    100 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   666 MBytes  55.8 Mbits/sec  658             sender
[  5]   0.00-100.04 sec   663 MBytes  55.6 Mbits/sec                  receiver

iperf Done.
