Connecting to host 35.221.118.215, port 5201
[  5] local 172.31.20.153 port 51218 connected to 35.221.118.215 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  88.00-89.00  sec  8.75 MBytes  73.4 Mbits/sec    0    707 KBytes       
[  5]  89.00-90.00  sec  10.0 MBytes  83.9 Mbits/sec    0    710 KBytes       
[  5]  90.00-91.00  sec  10.0 MBytes  83.9 Mbits/sec    0    710 KBytes       
[  5]  91.00-92.00  sec  10.0 MBytes  83.9 Mbits/sec    0    710 KBytes       
[  5]  92.00-93.00  sec  10.0 MBytes  83.9 Mbits/sec    0    714 KBytes       
[  5]  93.00-94.00  sec  8.75 MBytes  73.4 Mbits/sec   65    531 KBytes       
[  5]  94.00-95.00  sec  8.75 MBytes  73.4 Mbits/sec    0    602 KBytes       
[  5]  95.00-96.00  sec  7.50 MBytes  62.9 Mbits/sec    0    650 KBytes       
[  5]  96.00-97.00  sec  10.0 MBytes  83.9 Mbits/sec    0    685 KBytes       
[  5]  97.00-98.00  sec  10.0 MBytes  83.9 Mbits/sec    0    705 KBytes       
[  5]  98.00-99.00  sec  10.0 MBytes  83.9 Mbits/sec    0    715 KBytes       
[  5]  99.00-100.00 sec  10.0 MBytes  83.9 Mbits/sec    0    719 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   955 MBytes  80.1 Mbits/sec  689             sender
[  5]   0.00-100.06 sec   953 MBytes  79.9 Mbits/sec                  receiver

iperf Done.
