Connecting to host 35.246.199.235, port 5201
[  5] local 10.150.0.2 port 36564 connected to 35.246.199.235 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  64.00-65.00  sec  3.75 MBytes  31.5 Mbits/sec    0    370 KBytes       
[  5]  65.00-66.00  sec  3.75 MBytes  31.5 Mbits/sec    0    456 KBytes       
[  5]  66.00-67.00  sec  6.25 MBytes  52.4 Mbits/sec   14    539 KBytes       
[  5]  67.00-68.00  sec  5.00 MBytes  41.9 Mbits/sec    0    462 KBytes       
[  5]  68.00-69.00  sec  5.00 MBytes  41.9 Mbits/sec    0    509 KBytes       
[  5]  69.00-70.00  sec  6.25 MBytes  52.4 Mbits/sec    0    540 KBytes       
[  5]  70.00-71.00  sec  5.00 MBytes  41.9 Mbits/sec    8    412 KBytes       
[  5]  71.00-72.00  sec  3.75 MBytes  31.5 Mbits/sec    0    437 KBytes       
[  5]  72.00-73.00  sec  5.00 MBytes  42.0 Mbits/sec    7    331 KBytes       
[  5]  73.00-74.00  sec  3.75 MBytes  31.5 Mbits/sec    0    355 KBytes       
[  5]  74.00-75.00  sec  3.75 MBytes  31.5 Mbits/sec    0    370 KBytes       
[  5]  75.00-76.00  sec  3.75 MBytes  31.5 Mbits/sec    0    375 KBytes       
[  5]  76.00-77.00  sec  5.00 MBytes  41.9 Mbits/sec    0    375 KBytes       
[  5]  77.00-78.00  sec  3.75 MBytes  31.5 Mbits/sec    8    263 KBytes       
[  5]  78.00-79.00  sec  3.75 MBytes  31.5 Mbits/sec    0    314 KBytes       
[  5]  79.00-80.00  sec  2.50 MBytes  21.0 Mbits/sec    0    344 KBytes       
[  5]  80.00-81.00  sec  3.75 MBytes  31.5 Mbits/sec    6    264 KBytes       
[  5]  81.00-82.00  sec  3.75 MBytes  31.5 Mbits/sec    0    283 KBytes       
[  5]  82.00-83.00  sec  2.50 MBytes  21.0 Mbits/sec    0    294 KBytes       
[  5]  83.00-84.00  sec  3.75 MBytes  31.5 Mbits/sec    0    297 KBytes       
[  5]  84.00-85.00  sec  2.50 MBytes  21.0 Mbits/sec    0    297 KBytes       
[  5]  85.00-86.00  sec  3.75 MBytes  31.5 Mbits/sec    0    297 KBytes       
[  5]  86.00-87.00  sec  3.75 MBytes  31.5 Mbits/sec    0    301 KBytes       
[  5]  87.00-88.00  sec  3.75 MBytes  31.5 Mbits/sec    0    314 KBytes       
[  5]  88.00-89.00  sec  2.50 MBytes  21.0 Mbits/sec    0    334 KBytes       
[  5]  89.00-90.00  sec  5.00 MBytes  42.0 Mbits/sec    0    368 KBytes       
[  5]  90.00-91.00  sec  3.75 MBytes  31.5 Mbits/sec    0    419 KBytes       
[  5]  91.00-92.00  sec  5.00 MBytes  41.9 Mbits/sec    0    492 KBytes       
[  5]  92.00-93.00  sec  6.25 MBytes  52.4 Mbits/sec    0    587 KBytes       
[  5]  93.00-94.00  sec  6.25 MBytes  52.4 Mbits/sec   42    615 KBytes       
[  5]  94.00-95.00  sec  6.25 MBytes  52.4 Mbits/sec    0    566 KBytes       
[  5]  95.00-96.00  sec  7.50 MBytes  62.9 Mbits/sec    0    623 KBytes       
[  5]  96.00-97.00  sec  6.25 MBytes  52.4 Mbits/sec    6    463 KBytes       
[  5]  97.00-98.00  sec  6.25 MBytes  52.4 Mbits/sec    0    507 KBytes       
[  5]  98.00-99.00  sec  5.00 MBytes  41.9 Mbits/sec    0    535 KBytes       
[  5]  99.00-100.00 sec  6.25 MBytes  52.4 Mbits/sec    0    550 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   378 MBytes  31.7 Mbits/sec  430             sender
[  5]   0.00-100.09 sec   376 MBytes  31.5 Mbits/sec                  receiver

iperf Done.
