PING 35.247.214.66 (35.247.214.66) 56(84) bytes of data.
64 bytes from 35.247.214.66: icmp_seq=57 ttl=57 time=4.18 ms
64 bytes from 35.247.214.66: icmp_seq=58 ttl=57 time=3.19 ms
64 bytes from 35.247.214.66: icmp_seq=59 ttl=57 time=3.70 ms
64 bytes from 35.247.214.66: icmp_seq=60 ttl=57 time=3.75 ms
64 bytes from 35.247.214.66: icmp_seq=61 ttl=57 time=3.30 ms
64 bytes from 35.247.214.66: icmp_seq=62 ttl=57 time=2.88 ms
64 bytes from 35.247.214.66: icmp_seq=63 ttl=57 time=3.48 ms
64 bytes from 35.247.214.66: icmp_seq=64 ttl=57 time=3.15 ms
64 bytes from 35.247.214.66: icmp_seq=65 ttl=57 time=3.65 ms
64 bytes from 35.247.214.66: icmp_seq=66 ttl=57 time=3.12 ms
64 bytes from 35.247.214.66: icmp_seq=67 ttl=57 time=3.42 ms
64 bytes from 35.247.214.66: icmp_seq=68 ttl=57 time=2.97 ms
64 bytes from 35.247.214.66: icmp_seq=69 ttl=57 time=3.38 ms
64 bytes from 35.247.214.66: icmp_seq=70 ttl=57 time=3.11 ms
64 bytes from 35.247.214.66: icmp_seq=71 ttl=57 time=2.84 ms
64 bytes from 35.247.214.66: icmp_seq=72 ttl=57 time=2.86 ms
64 bytes from 35.247.214.66: icmp_seq=73 ttl=57 time=3.68 ms
64 bytes from 35.247.214.66: icmp_seq=74 ttl=57 time=2.91 ms
64 bytes from 35.247.214.66: icmp_seq=75 ttl=57 time=4.03 ms
64 bytes from 35.247.214.66: icmp_seq=76 ttl=57 time=3.02 ms
64 bytes from 35.247.214.66: icmp_seq=77 ttl=57 time=3.33 ms
64 bytes from 35.247.214.66: icmp_seq=78 ttl=57 time=3.20 ms
64 bytes from 35.247.214.66: icmp_seq=79 ttl=57 time=3.19 ms
64 bytes from 35.247.214.66: icmp_seq=80 ttl=57 time=3.43 ms
64 bytes from 35.247.214.66: icmp_seq=81 ttl=57 time=3.31 ms
64 bytes from 35.247.214.66: icmp_seq=82 ttl=57 time=3.97 ms
64 bytes from 35.247.214.66: icmp_seq=83 ttl=57 time=2.98 ms
64 bytes from 35.247.214.66: icmp_seq=84 ttl=57 time=3.58 ms
64 bytes from 35.247.214.66: icmp_seq=85 ttl=57 time=3.49 ms
64 bytes from 35.247.214.66: icmp_seq=86 ttl=57 time=3.24 ms
64 bytes from 35.247.214.66: icmp_seq=87 ttl=57 time=3.34 ms
64 bytes from 35.247.214.66: icmp_seq=88 ttl=57 time=3.22 ms
64 bytes from 35.247.214.66: icmp_seq=89 ttl=57 time=3.54 ms
64 bytes from 35.247.214.66: icmp_seq=90 ttl=57 time=3.05 ms
64 bytes from 35.247.214.66: icmp_seq=91 ttl=57 time=3.67 ms
64 bytes from 35.247.214.66: icmp_seq=92 ttl=57 time=3.21 ms
64 bytes from 35.247.214.66: icmp_seq=93 ttl=57 time=3.41 ms
64 bytes from 35.247.214.66: icmp_seq=94 ttl=57 time=4.55 ms
64 bytes from 35.247.214.66: icmp_seq=95 ttl=57 time=3.16 ms
64 bytes from 35.247.214.66: icmp_seq=96 ttl=57 time=3.33 ms
64 bytes from 35.247.214.66: icmp_seq=97 ttl=57 time=3.00 ms
64 bytes from 35.247.214.66: icmp_seq=98 ttl=57 time=3.19 ms
64 bytes from 35.247.214.66: icmp_seq=99 ttl=57 time=2.89 ms
64 bytes from 35.247.214.66: icmp_seq=100 ttl=57 time=3.54 ms

--- 35.247.214.66 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99152ms
rtt min/avg/max/mdev = 2.840/3.491/8.142/0.832 ms
